port_code,port_name,district_code,district_name
5105,"FREDERIKSTED, VI",51,U.S. VIRGIN ISLANDS
5201,"MIAMI, FL",52,"MIAMI, FL"
5202,"KEY WEST, FL",52,"MIAMI, FL"
5203,"PORT EVERGLADES, FL",52,"MIAMI, FL"
5204,"WEST PALM BEACH, FL",52,"MIAMI, FL"
5205,"FORT PIERCE, FL",52,"MIAMI, FL"
5206,MIAMI INTL AIRPORT,52,"MIAMI, FL"
5210,"FT. LAUDERDALE INTERNATIONAL AIRPORT, FL",52,"MIAMI, FL"
5295,"UPS, MIAMI, FL",52,"MIAMI, FL"
5296,"DHL, MIAMI, FL",52,"MIAMI, FL"
5297,"FEDEX, MIAMI, FL",52,"MIAMI, FL"
5298,"IBC COURIER HUB, FL",52,"MIAMI, FL"
5301,"HOUSTON, TX",53,"HOUSTON-GALVESTON, TX"
5306,"TEXAS CITY, TX",53,"HOUSTON-GALVESTON, TX"
5309,"HOUSTON INTERCONTL AIRP, TX",53,"HOUSTON-GALVESTON, TX"
5310,"GALVESTON, TX",53,"HOUSTON-GALVESTON, TX"
5311,"FREEPORT, TX",53,"HOUSTON-GALVESTON, TX"
5312,"CORPUS CHRISTI, TX",53,"HOUSTON-GALVESTON, TX"
5313,"PORT LAVACA, TX",53,"HOUSTON-GALVESTON, TX"
5381,"SUGAR LAND REG AIRP, SUGAR LAND, TX",53,"HOUSTON-GALVESTON, TX"
5401,"WASHINGTON, DC",54,"WASHINGTON, DC"
5402,"ALEXANDRIA, VA",54,"WASHINGTON, DC"
