shipper_norm,year,production_st,production_mt_equiv,vessel_calls_n,calls_with_tons,raw_exports_mt,annual_corr_factor,corrected_exports_mt,export_fraction_pct
TO ORDER,2025,0.0,0.0,15.0,15.0,891330.0,1.9886938064949435,1772582.0,
TO ORDER,2026,0.0,0.0,3.0,3.0,214428.0,1.8476221035807328,396182.0,
TRAFIGURA,2022,0.0,0.0,1.0,1.0,17097.0,1.9700504815059154,33682.0,
TRAFIGURA,2023,0.0,0.0,1.0,1.0,43544.0,2.1102734257739506,91890.0,
TRAFIGURA,2024,0.0,0.0,8.0,4.0,282500.0,2.0641557547316407,583124.0,
TURKEY,2021,0.0,0.0,2.0,0.0,0.0,2.232689430705837,0.0,
TURKEY,2022,0.0,0.0,1.0,0.0,0.0,1.9700504815059154,0.0,
UK,2021,0.0,0.0,5.0,2.0,50177.0,2.232689430705837,112030.0,
UK,2022,0.0,0.0,21.0,10.0,698035.0,1.9700504815059154,1375164.0,
UK,2023,0.0,0.0,5.0,2.0,138315.0,2.1102734257739506,291882.0,
UKRAINE,2021,0.0,0.0,2.0,2.0,105000.0,2.232689430705837,234432.0,
UKRAINE,2024,0.0,0.0,2.0,1.0,78107.0,2.0641557547316407,161225.0,
UNITED,2021,0.0,0.0,18.0,6.0,326938.0,2.232689430705837,729951.0,
UNITED,2022,0.0,0.0,47.0,24.0,965011.0,1.9700504815059154,1901120.0,
UNITED,2023,0.0,0.0,29.0,18.0,1016259.0,2.1102734257739506,2144584.0,
UNITED,2024,0.0,0.0,30.0,20.0,910990.0,2.0641557547316407,1880425.0,
UNITED,2025,0.0,0.0,11.0,11.0,364402.0,1.9886938064949435,724684.0,
UNITED,2026,0.0,0.0,2.0,2.0,88250.0,1.8476221035807328,163053.0,
VISA COMMODITIES,2021,0.0,0.0,1.0,0.0,0.0,2.232689430705837,0.0,
WARRIOR,2021,5604582.0,5084477.0,,,,,0.0,0.0
WARRIOR,2022,6314696.0,5728692.0,,,,,0.0,0.0
WARRIOR,2023,7645536.0,6936030.0,,,,,0.0,0.0
WARRIOR,2024,8247292.0,7481943.0,51.0,28.0,1918415.0,2.0641557547316407,3959907.0,52.9
WARRIOR,2025,10203093.0,9256246.0,69.0,66.0,4157688.0,1.9886938064949435,8268368.0,89.3
WARRIOR,2026,0.0,0.0,5.0,5.0,361134.0,1.8476221035807328,667239.0,
WHITE FOREST,2024,0.0,0.0,1.0,1.0,40000.0,2.0641557547316407,82566.0,
WILSON CREEK,2024,0.0,0.0,3.0,1.0,22000.0,2.0641557547316407,45411.0,
XCOAL,2021,0.0,0.0,46.0,27.0,1284900.0,2.232689430705837,2868783.0,
XCOAL,2022,0.0,0.0,120.0,72.0,3685228.0,1.9700504815059154,7260085.0,
XCOAL,2023,0.0,0.0,113.0,58.0,2878892.0,2.1102734257739506,6075249.0,
XCOAL,2024,0.0,0.0,76.0,34.0,1624471.0,2.0641557547316407,3353161.0,
XCOAL,2025,0.0,0.0,32.0,29.0,1068888.0,1.9886938064949435,2125691.0,
